Exercise Category,Exercise Name
POSE,RECLINED_HAND_TO_FOOT
POSE,REVOLVED_HALF_MOON
POSE,REVOLVED_HEAD_TO_KNEE
POSE,REVOLVED_TRIANGLE
POSE,RUNNERS_LUNGE
POSE,SEATED_EASY_SIDE_BEND
POSE,SEATED_EASY_TWIST
POSE,SEATED_LONG_LEG_FORWARD_BEND
POSE,SEATED_WIDE_LEG_FORWARD_BEND
POSE,SHOULDER_STAND
POSE,SIDE_BOAT
POSE,SPHINX
POSE,SQUAT_OPEN_ARM_TWIST
POSE,SQUAT_PALM_PRESS
POSE,STAFF
POSE,STANDING_ARMS_UP
POSE,STANDING_FORWARD_BEND
POSE,STANDING_FORWARD_BEND_HALFWAY_UP
POSE,STANDING_SIDE_OPENER
POSE,STANDING_SINGLE_LEG_FORWARD_BEND
POSE,STANDING_SPLIT
POSE,STANDING_WIDE_LEG_FORWARD_BEND
POSE,STANDING_WIDE_LEG_FORWARD_BEND_WITH_TWIST
POSE,SUPINE_SPINAL_TWIST
POSE,TABLE_TOP
POSE,THREAD_THE_NEEDLE
POSE,THUNDERBOLT
POSE,THUNDERBOLT_POSE_BOTH_SIDES_ARM_STRETCH
POSE,TREE
POSE,TRIANGLE
POSE,UP_DOG
POSE,UPWARD_FACING_PLANK
POSE,WARRIOR_ONE
POSE,WARRIOR_THREE
POSE,WARRIOR_TWO
POSE,WHEEL
POSE,WIDE_SIDE_LUNGE
PUSH_UP,PILATES_PUSHUP
SQUAT,PILATES_PLIE_SQUATS_PARALLEL_TURNED_OUT_FLAT_AND_HEELS
SQUAT,RELEVE_STRAIGHT_LEG_AND_KNEE_BENT_WITH_ONE_LEG_VARIATION
TRICEPS_EXTENSION,TRICEPS_PRESS
