Exercise Category,Exercise Name
CALF_RAISE,SINGLE_LEG_STANDING_DUMBBELL_CALF_RAISE
CALF_RAISE,STANDING_BARBELL_CALF_RAISE
CALF_RAISE,STANDING_CALF_RAISE
CALF_RAISE,STANDING_DUMBBELL_CALF_RAISE
CALF_RAISE,WEIGHTED_DONKEY_CALF_RAISE
CALF_RAISE,WEIGHTED_SEATED_CALF_RAISE
CALF_RAISE,WEIGHTED_SINGLE_LEG_BENT_KNEE_CALF_RAISE
CALF_RAISE,WEIGHTED_SINGLE_LEG_DONKEY_CALF_RAISE
CALF_RAISE,WEIGHTED_STANDING_CALF_RAISE
CARDIO,BOB_AND_WEAVE_CIRCLE
CARDIO,CARDIO_CORE_CRAWL
CARDIO,DOUBLE_UNDER
CARDIO,JUMP_ROPE
CARDIO,JUMP_ROPE_CROSSOVER
CARDIO,JUMP_ROPE_JOG
CARDIO,JUMPING_JACKS
CARDIO,SKI_MOGULS
CARDIO,SPLIT_JACKS
CARDIO,SQUAT_JACKS
CARDIO,TRIPLE_UNDER
CARDIO,WEIGHTED_BOB_AND_WEAVE_CIRCLE
CARDIO,WEIGHTED_CARDIO_CORE_CRAWL
CARDIO,WEIGHTED_DOUBLE_UNDER
CARDIO,WEIGHTED_JUMP_ROPE
CARDIO,WEIGHTED_JUMP_ROPE_CROSSOVER
CARDIO,WEIGHTED_JUMP_ROPE_JOG
CARDIO,WEIGHTED_JUMPING_JACKS
CARDIO,WEIGHTED_SKI_MOGULS
CARDIO,WEIGHTED_SPLIT_JACKS
CARDIO,WEIGHTED_SQUAT_JACKS
CARDIO,WEIGHTED_TRIPLE_UNDER
CARRY,BAR_HOLDS
CARRY,DUMBBELL_WAITER_CARRY
CARRY,FARMERS_CARRY
CARRY,FARMERS_CARRY_ON_TOES
CARRY,FARMERS_CARRY_WALK_LUNGE
CARRY,FARMERS_WALK
CARRY,FARMERS_WALK_ON_TOES
CARRY,HEX_DUMBBELL_HOLD
CARRY,OVERHEAD_CARRY
CHOP,CABLE_PULL_THROUGH
CHOP,CABLE_ROTATIONAL_LIFT
CHOP,CABLE_WOODCHOP
CHOP,CROSS_CHOP_TO_KNEE
CHOP,DUMBBELL_CHOP
CHOP,HALF_KNEELING_ROTATION
CHOP,HALF_KNEELING_ROTATIONAL_CHOP
CHOP,HALF_KNEELING_ROTATIONAL_REVERSE_CHOP
CHOP,HALF_KNEELING_STABILITY_CHOP
CHOP,HALF_KNEELING_STABILITY_REVERSE_CHOP
CHOP,KNEELING_ROTATIONAL_CHOP
CHOP,KNEELING_ROTATIONAL_REVERSE_CHOP
CHOP,KNEELING_STABILITY_CHOP
CHOP,KNEELING_WOODCHOPPER
CHOP,MEDICINE_BALL_WOOD_CHOPS
CHOP,POWER_SQUAT_CHOPS
CHOP,STANDING_ROTATIONAL_CHOP
CHOP,STANDING_SPLIT_ROTATIONAL_CHOP
CHOP,STANDING_SPLIT_ROTATIONAL_REVERSE_CHOP
CHOP,STANDING_STABILITY_REVERSE_CHOP
CHOP,WEIGHTED_CROSS_CHOP_TO_KNEE
CHOP,WEIGHTED_HALF_KNEELING_ROTATION
CHOP,WEIGHTED_POWER_SQUAT_CHOPS
CORE,ABS_JABS
CORE,ALTERNATING_PLATE_REACH
CORE,ALTERNATING_SLIDE_OUT
CORE,BARBELL_ROLLOUT
CORE,BODY_BAR_OBLIQUE_TWIST
CORE,CABLE_CORE_PRESS
CORE,CABLE_SIDE_BEND
CORE,CRESCENT_CIRCLE
CORE,CYCLING_RUSSIAN_TWIST
CORE,ELEVATED_FEET_RUSSIAN_TWIST
CORE,GHD_BACK_EXTENSIONS
CORE,HALF_TURKISH_GET_UP
CORE,HANGING_L_SIT
CORE,INCHWORM
CORE,KETTLEBELL_WINDMILL
CORE,KNEELING_AB_WHEEL
CORE,L_SIT
CORE,MODIFIED_FRONT_LEVER
CORE,OPEN_KNEE_TUCKS
CORE,OVERHEAD_WALK
CORE,RING_L_SIT
CORE,RUSSIAN_TWIST
CORE,SIDE_ABS_LEG_LIFT
CORE,SIDE_BEND
CORE,SWISS_BALL_JACKKNIFE
CORE,SWISS_BALL_PIKE
CORE,SWISS_BALL_ROLLOUT
CORE,TOES_TO_ELBOWS
CORE,TRIANGLE_HIP_PRESS
CORE,TRX_SUSPENDED_JACKKNIFE
CORE,TURKISH_GET_UP
CORE,U_BOAT
CORE,WEIGHTED_ABS_JABS
CORE,WEIGHTED_ALTERNATING_SLIDE_OUT
CORE,WEIGHTED_BARBELL_ROLLOUT
CORE,WEIGHTED_CRESCENT_CIRCLE
CORE,WEIGHTED_CYCLING_RUSSIAN_TWIST
CORE,WEIGHTED_ELEVATED_FEET_RUSSIAN_TWIST
CORE,WEIGHTED_GHD_BACK_EXTENSIONS
CORE,WEIGHTED_HANGING_L_SIT
CORE,WEIGHTED_KNEELING_AB_WHEEL
CORE,WEIGHTED_L_SIT
CORE,WEIGHTED_MODIFIED_FRONT_LEVER
CORE,WEIGHTED_OPEN_KNEE_TUCKS
